Facility Type,Facility Number,Facility Name,Licensee,Facility Administrator,Facility Telephone Number,Facility Address,Facility City,Facility State,Facility Zip,County Name,Regional Office,Facility Capacity,Facility Status,License First Date,Closed Date,Last Visit Date,Inspection Visits,Complaint Visits,Other Visits,Total Visits,Inspect TypeA,Inspect TypeB,Other TypeA,Other TypeB,Complaint Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343610792,SACRAMENTO MONTESSORI SCHOOL,"12TH STREET COLLABORATIVE FOR MONTESSORI, THE","TUROF, SUSAN",(916) 444-7786,1111-1123 D STREET,SACRAMENTO,CA,95814,SACRAMENTO,3,74,LICENSED,9/30/2005,,12/10/2018,0,8,19,27,3,7,14,9,9/27/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,340300591,SACRAMENTO TINY TOTS PRESCHOOL,"SACRAMENTO TINY TOTS PRESCHOOL, INC","PITTS, LINDSEY",(916) 925-6673,1949 BELL STREET,SACRAMENTO,CA,95825,SACRAMENTO,3,30,CLOSED,5/14/1972,4/10/2018,5/30/2017,1,0,0,1,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343617477,SACRAMENTO WALDORF SCHOOL EARLY CHILDHOOD,"SACRAMENTO WALDORF SCHOOL ASSOCIATION, INC.","MACARTHUR, JULIE",(916) 961-3900,3750 BANNISTER ROAD,FAIR OAKS,CA,95628,SACRAMENTO,3,60,CLOSED,6/26/2013,12/18/2015,6/24/2013,0,0,0,0,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343620369,SAFARI KID - SACRAMENTO,"LIVE FOR ED, LLC","TRUJILLO, RACHEL",(916) 361-1600,10190 SYSTEMS PARKWAY,SACRAMENTO,CA,95827,SACRAMENTO,3,60,CLOSED,5/22/2015,9/14/2017,9/11/2017,1,5,5,11,0,5,3,3,9/13/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343621791,SAFARI KID - SACRAMENTO,"LITTLE CUBS, LLC","DEBOER, IAN",(510) 386-7777,10190 SYSTEMS PKWY UNIT 110,SACRAMENTO,CA,95827,SACRAMENTO,3,60,LICENSED,9/14/2017,,4/19/2019,1,14,7,22,0,0,1,4,5/31/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343617176,SAINT JOHN THE EVANGELIST PRESCHOOL,PASTOR OF SAINT JOHN THE EVANGELIST PARISH,"CHAGOLLA, MARIA",(916) 481-8845,5701 LOCUST AVENUE,CARMICHAEL,CA,95608,SACRAMENTO,3,60,LICENSED,8/27/2012,,1/22/2018,2,0,1,3,0,1,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343614934,SALAM PRESCHOOL,SACRAMENTO AREA LEAGUE OF ASSOC. MUSLIMS,"SWIDAN, NOURAN",(916) 979-1973,4541 COLLEGE OAK DRIVE,SACRAMENTO,CA,95841,SACRAMENTO,3,40,CLOSED,2/11/2008,4/25/2018,1/8/2016,1,0,0,1,1,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,340309428,SALVATION ARMY DAY CARE CENTER,SALVATION ARMY,"DUESBURY, ANN MARIE",(916) 469-4630,2540 ALHAMBRA BLVD,SACRAMENTO,CA,95817,SACRAMENTO,3,72,LICENSED,11/17/1986,,4/18/2019,2,18,8,28,0,0,4,2,4/25/2019,0,1,0,0,0,10/25/2016,1,0,0,0,1,8/1/2016,0,2,0,0,0,5/8/2016,1,1,0,1,0,4/4/2016,0,2,0,0,0,11/10/2015,1,1,0,1,0,9/11/2015,0,2,0,0,0
DAY CARE CENTER,343600938,SAMUEL KENNEDY ELEMENTARY HEAD START,ELK GROVE UNIFIED SCHOOL DISTRICT,"HESPELER, CLARICE",(916) 387-8902,7037 BRIGGS DRIVE,SACRAMENTO,CA,95828,SACRAMENTO,3,44,LICENSED,3/27/1995,,4/4/2019,3,1,1,5,0,2,0,1,9/26/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343616542,SAN JUAN PRE-SCHOOL,GINETTE STEPHENS & HENRY MARURI,"LEWIS, JENNY",(916) 863-0337,7413 WISCONSIN DRIVE,CITRUS HEIGHTS,CA,95610,SACRAMENTO,3,24,LICENSED,4/1/2011,,7/31/2019,3,7,9,19,5,2,4,1,12/14/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343622573,SETA - 16TH AVENUE HEAD START,SACRAMENTO EMPLOYMENT AND TRAINING AGENCY,JOUA XIONG,(916) 263-3804,4104 MARTIN LUTHER KINGJR BLVD,SACRAMENTO,CA,95820,SACRAMENTO,3,76,LICENSED,8/9/2018,,8/28/2019,1,0,1,2,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343610541,SETA - ALDER GROVE EARLY LEARNING CENTER,SACRAMENTO EMPLOYMENT TRAINING AGENCY,ASHLEE RUSSELL,(916) 563-5069,816 REVERE STREET,SACRAMENTO,CA,95818,SACRAMENTO,3,22,LICENSED,11/17/2004,,3/29/2018,2,0,0,2,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,340318012,SETA - ALDER GROVE INFANT/TODDLER CTR,SACRAMENTO EMPLOYMENT & TRAINING AGENCY (SETA),"RODRIGUEZ, JENNA",(916) 322-7068,2640 A MUIR WAY,SACRAMENTO,CA,95818,SACRAMENTO,3,20,LICENSED,3/27/1992,,7/31/2017,2,0,0,2,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343604909,SETA - AUBERRY PARK HEAD START,SETA,"MULLINS, DIANE",(916) 563-5001,8120 POWER INN ROAD,SACRAMENTO,CA,95828,SACRAMENTO,3,20,CLOSED,9/29/1999,7/5/2019,4/2/2018,2,0,0,2,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343606272,SETA - CROSSROADS HEAD START,SETA HEAD START,LYNDA DE LA MORA,(916) 263-3804,7322 FLORIN WOODS DRIVE,SACRAMENTO,CA,95823,SACRAMENTO,3,84,LICENSED,9/21/2001,,2/21/2019,2,1,2,5,0,0,0,0,10/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343616666,SETA - ELKHORN HEADSTART,SETA,"SIMPSON, AFIYA",(916) 263-5353,5249 ELKHORN BLVD.,SACRAMENTO,CA,95842,SACRAMENTO,3,88,LICENSED,4/6/2011,,7/11/2019,2,1,9,12,0,1,2,1,9/18/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343604771,SETA - FREEDOM PARK EARLY LEARNING CENTER,SACRAMENTO EMPLOYMENT & TRAINING AGENCY (SETA),KIM MARTINEZ,(916) 563-5125,6015 WATT AVENUE #5,NORTH HIGHLANDS,CA,95660,SACRAMENTO,3,100,LICENSED,9/21/1999,,2/19/2019,3,1,2,6,0,0,0,0,9/19/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,340321700,SETA - FRUITRIDGE COMMUNITY CTR HEADSTART,SACRAMENTO EMPLOYMENT & TRAINING AGENCY (SETA),STACEY PHILLIPS,(916) 563-5020,5746 40TH STREET,SACRAMENTO,CA,95824,SACRAMENTO,3,40,LICENSED,6/1/1994,,1/9/2019,2,0,1,3,0,0,1,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343604193,SETA - GALT HEAD START,SETA,"GOMEZ, CARMEN",(209) 745-6678,615 2ND ST.,GALT,CA,95632,SACRAMENTO,53,60,LICENSED,11/16/1998,,10/4/2018,3,1,1,5,0,0,0,0,12/5/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343612177,SETA - GRIZZLY HOLLOW HEAD START,SETA - HEADSTART,"LOPEZ, MARLO",(209) 744-7728,805 ELK HILLS DRIVE,GALT,CA,95632,SACRAMENTO,53,40,LICENSED,1/11/2007,,12/7/2017,2,0,0,2,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343601779,SETA - HILLSDALE AVENUE HEAD START,SACRAMENTO EMPLOYMENT AND TRAINING AGENCY,DAVID HUGHES,(916) 263-1031,5665 HILLSDALE BLVD.,NORTH HIGHLANDS,CA,95842,SACRAMENTO,3,80,LICENSED,10/2/1996,,1/9/2019,1,1,3,5,0,0,1,0,1/14/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343611609,SETA - HOPKINS PARK HEADSTART,SETA,"WEST, PAMELA",(916) 563-5037,2317 MATSON DRIVE,SACRAMENTO,CA,95822,SACRAMENTO,3,48,LICENSED,4/28/2006,,6/7/2019,2,0,1,3,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343604912,SETA - ILLA COLLIN EARLY LEARNING CENTER,SETA,DAVID HGUYEN,(916) 263-1319,3530 41ST AVENUE,SACRAMENTO,CA,95824,SACRAMENTO,3,20,LICENSED,11/2/1999,,8/2/2017,2,0,0,2,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343604911,SETA - JOB CORPS HEAD START,SETA,"JENSEN, DARATHA",(916) 427-4010,3100 MEADOWVIEW ROAD,SACRAMENTO,CA,95832,SACRAMENTO,3,44,LICENSED,7/11/2000,,9/21/2018,2,0,0,2,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343605201,SETA - KENNEDY ESTATES,SETA,CHAOFEY SAECHAO,(916) 563-5043,6501 ELDERCREEK,SACRAMENTO,CA,95824,SACRAMENTO,3,20,LICENSED,2/2/2000,,8/2/2017,2,0,0,2,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343600801,SETA - LAVERNE STEWART - HEAD START,SACRAMENTO EMPLOYMENT AND TRAINING AGENCY (SETA),KATHY BARNES,(916) 563-5055,5545 SKY PARKWAY,SACRAMENTO,CA,95823,SACRAMENTO,3,20,LICENSED,12/15/1994,,12/19/2017,2,0,1,3,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343609391,SETA - MARINA VISTA EARLY LEARNING CENTER,SETA-SACRAMENTO EMPLOYMENT TRAINING AGENCY,"DANIELS, CHERIA",(916) 263-3804,263 SEAVEY CIR.,SACRAMENTO,CA,95818,SACRAMENTO,3,78,LICENSED,2/17/2004,,10/15/2018,2,1,2,5,0,0,3,0,10/18/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343603671,SETA - MATHER HEAD START,SETA-MATHER HEAD START,"MALDONADO, JENNIFER",(916) 563-5057,10546 PETER A. MCQUEN RD.,MATHER,CA,95655,SACRAMENTO,3,90,LICENSED,8/26/1998,,8/9/2018,2,0,4,6,0,2,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,340313658,SETA - NATOMAS-BANNON CREEK HEAD START,SACRAMENTO EMPLOYMENT & TRAINING AGENCY (SETA),MIGDALIA WADE,(916) 563-5005,2775 MILLCREEK DRIVE,SACRAMENTO,CA,95833,SACRAMENTO,3,40,LICENSED,9/12/1990,,4/22/2019,2,2,1,5,0,0,0,0,4/22/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343610375,SETA - NEDRA COURT EARLY LEARNING CENTER,SACRAMENTO EMPLOYMENT TRAINING AGENCY,"ALAMILLO, BAMBI",(916) 563-5065,60 NEDRA COURT,SACRAMENTO,CA,95822,SACRAMENTO,3,40,LICENSED,10/5/2004,,1/30/2018,2,0,0,2,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,340321410,SETA - NORMA JOHNSON EARLY LEARNING CENTER,SACRAMENTO EMPLOYMENT & TRAINING AGENCY (SETA),"HER, CHER",(916) 563-5371,3265  NORWOOD AVENUE,SACRAMENTO,CA,95838,SACRAMENTO,3,48,LICENSED,1/4/1994,,8/16/2018,2,0,0,2,0,0,0,2,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343617159,SETA - NORTH AVENUE HEAD START,SACRAMENTO EMPLOYMENT & TRAINING AGENCY SETA,"FRANKLIN, ANA",(916) 263-3800,1281 NORTH AVENUE,SACRAMENTO,CA,95838,SACRAMENTO,3,80,LICENSED,5/30/2012,,12/10/2018,2,1,3,6,0,0,1,0,12/11/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343603476,SETA - NORTHVIEW HEAD START,SETA HEAD START,"KENNEDY, JOANNE",(916) 563-5374,2401 NORTHVIEW AVENUE,SACRAMENTO,CA,95833,SACRAMENTO,3,87,LICENSED,2/26/1998,,5/30/2018,2,1,2,5,0,0,0,2,9/25/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,340316212,SETA - PARKER AVENUE HEAD START,SACRAMENTO EMPLOYMENT & TRAINING AGENCY (SETA),"WHITEN, NIKKI",(916) 563-5071,4516 PARKER AVENUE,SACRAMENTO,CA,95820,SACRAMENTO,3,20,LICENSED,9/5/1991,,4/3/2017,1,0,2,3,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343614113,SETA - PHOENIX PARK EARLY LEARNING CENTER,SETA,"VANG, SHOUA",(916) 563-5075,4400 SHINING STAR DRIVE,SACRAMENTO,CA,95823,SACRAMENTO,3,55,LICENSED,10/13/2006,,3/15/2019,2,3,0,5,0,0,0,0,4/9/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343610154,SETA - SHARON NEESE EARLY LEARNING CENTER,SETA - SHARON NEESE EARLY LEARNING CENTER,"PAYTON, GEORGIA",(916) 263-5487,925 DEL PASO BLVD. #300,SACRAMENTO,CA,95815,SACRAMENTO,3,92,LICENSED,9/14/2004,,11/20/2018,2,1,1,4,0,0,0,0,10/12/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343611608,SETA - SOLID FOUNDATION HEAD START,SETA,JOUA XIONG,(916) 563-5082,7505 FRANKLIN BLVD.,SACRAMENTO,CA,95823,SACRAMENTO,3,42,LICENSED,4/26/2006,,12/13/2018,2,0,0,2,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343600902,SETA - STRIZEK PARK - HEAD START,SACRAMENTO EMPLOYMENT AND TRAINING AGENCY (SETA),"MUTKALA, MARY",(916) 263-3800,3829 STEPHEN DR,NORTH HIGHLANDS,CA,95660,SACRAMENTO,3,20,LICENSED,2/10/1995,,7/22/2019,3,0,0,3,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343610891,SETA - VINELAND HEAD START,SETA HEAD START,KIMTHUY DUONG,(916) 563-5385,6450 20TH STREET,RIO LINDA,CA,95673,SACRAMENTO,3,24,CLOSED,10/26/2005,10/2/2018,1/15/2016,1,0,0,1,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343604194,SETA - WALNUT GROVE HEAD START,SETA,"GONZALES, JUANA",(916) 776-4939,14273 RIVER ROAD,WALNUT GROVE,CA,95690,SACRAMENTO,3,40,CLOSED,11/2/1998,9/9/2016,3/24/2015,1,0,0,1,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343621336,SETA - WALNUT GROVE HEAD START,SACRAMENTO EMPLOYMENT AND TRAINING AGENCY SETA,"GONZALES, JUANA",(916) 776-1844,14181 GROVE STREET,WALNUT GROVE,CA,95690,SACRAMENTO,3,40,LICENSED,9/9/2016,,1/28/2019,1,0,1,2,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,340311535,SETA - WHITE ROCK HEADSTART,SACRAMENTO EMPLOYMENT & TRAINING AGENCY (SETA),"MAGANA, ROSIO",(916) 563-5090,10487 WHITE ROCK ROAD,RANCHO CORDOVA,CA,95670,SACRAMENTO,3,40,LICENSED,11/30/1989,,6/15/2018,1,0,1,2,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343623181,SETA AMERICAN LEGION HEAD START,SETA,"KENNEDY, JOANNE",(916) 263-3800,3801 BROADWAY BLVD.,SACRAMENTO,CA,95817,SACRAMENTO,3,16,PENDING,,,,0,0,0,0,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343623182,SETA BRET HARTE HEAD START,SETA,"NGUYEN, DAVID",(916) 263-3800,2761 9TH AVENUE,SACRAMENTO,CA,95818,SACRAMENTO,3,28,PENDING,,,8/16/2019,0,0,1,1,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343623186,SETA CAPITOL CITY HEAD START,SETA,"ATKINSON, BARBARA",(916) 263-3800,7220 24TH STREET,SACRAMENTO,CA,95822,SACRAMENTO,3,36,PENDING,,,8/8/2019,0,0,1,1,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343623185,SETA CP HUNTINGTON HEAD START,SETA,"LUNA, DESIREE",(916) 263-3800,5917 26TH STREET,SACRAMENTO,CA,95822,SACRAMENTO,3,28,PENDING,,,8/8/2019,0,0,1,1,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343622185,SETA FLORIN HEAD START,SACRAMENTO EMPLOYMENT AND TRAINING AGENCY,"DE LA MORA, LYNDA",(916) 263-3804,8383 FLORIN ROAD,SACRAMENTO,CA,95828,SACRAMENTO,3,48,CLOSED,2/22/2018,6/1/2018,2/22/2018,0,0,1,1,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343611610,SETA FRANKLIN HEAD START,SETA FRANKLIN HEAD START,"VANG,SHOUA",(916) 263-3800,6929 FRANKLIN BLVD,SACRAMENTO,CA,95823,SACRAMENTO,3,20,CLOSED,,2/20/2019,,0,0,0,0,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343623012,SETA FRANKLIN HEAD START,SETA,"VANG,SHOUA",(916) 263-3800,6929 FRANKLIN BLVD,SACRAMENTO,CA,95823,SACRAMENTO,3,20,LICENSED,4/12/2019,,4/12/2019,0,0,1,1,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343623180,SETA FREEPORT HEAD START,SETA,"MULLINS, DIANE",(916) 263-3800,2118 MEADOWVIEW ROAD,SACRAMENTO,CA,95832,SACRAMENTO,3,20,PENDING,,,,0,0,0,0,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343623184,SETA HIRAM JOHNSON HEAD START (PS),SETA,"GOMEZ, CARMEN",(916) 263-3800,3535 65TH STREET,SACRAMENTO,CA,95820,SACRAMENTO,3,16,CLOSED,,8/26/2019,,0,0,0,0,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343614545,SHALOM PRESCHOOL,SHALOM SCHOOL,LAURA HALEN,(916) 485-4151,2320 SIERRA BLVD.,SACRAMENTO,CA,95825,SACRAMENTO,3,126,LICENSED,8/24/2007,,8/1/2019,4,0,3,7,0,1,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343614534,SHELDON ACRES CHILD DEVELOPMENT CENTER,"GLINES-THOMPSON, SUSAN","GLINES, SUSAN",(916) 686-8344,10393 PLEASANT GROVE SCHOOL RD,ELK GROVE,CA,95624,SACRAMENTO,53,100,LICENSED,6/12/2007,,5/15/2019,3,2,3,8,4,4,2,0,10/24/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,340306418,SHILOH ARMS CHILD DEVELOPMENT CENTER,SHILOH ARMS CHILD DEVELOPMENT CENTER,ROWENA CAMILLER,(916) 453-1309,3949 23RD AVENUE,SACRAMENTO,CA,95820,SACRAMENTO,3,46,LICENSED,10/1/1995,,6/14/2017,2,0,1,3,2,4,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343604339,SHINING STARS AT CREEKSIDE,SHINING STARS AT CREEKSIDE,"GIESSER, LINDY",(916) 685-4821,8939 E. STOCKTON BLVD.,ELK GROVE,CA,95624,SACRAMENTO,53,140,LICENSED,6/29/1999,,10/26/2018,3,0,2,5,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343617616,SIERRA ENTERPRISE ELEMENTARY SCHOOL,ELK GROVE UNIFIED SCHOOL DISTRICT,PATRICIA HECHT,(916) 381-2767,9115 FRUITRIDGE ROAD,SACRAMENTO,CA,95826,SACRAMENTO,3,24,LICENSED,8/19/2013,,5/30/2019,3,0,1,4,1,2,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343615668,SIERRA VIEW ELEMENTARY SCHOOL,TWIN  RIVERS UNIFIED SCHOOL,REEM ZIDAN,(916) 566-1960,3638 BAINBRIDGE DRIVE,NORTH HIGHLANDS,CA,95660,SACRAMENTO,3,24,LICENSED,3/2/2009,,2/28/2018,1,0,3,4,0,3,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343622983,SINGLE MOM STRONG - EMPOWERME PRESCHOOL CHILDCARE,"SINGLE MOM STRONG, INC.","TAYLOR, TARA",(916) 687-1282,"7525 AUBURN BLVD, SUITE 5",CITRUS HEIGHTS,CA,95610,SACRAMENTO,3,15,LICENSED,6/14/2019,,6/14/2019,0,0,1,1,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343604550,SKILLS CHILDREN'S CENTER,SCUSD CHILD DEVELOPMENT,"HETZEL, DANIELLE",(916) 433-2655,5451 LEMON HILL AVE.,SACRAMENTO,CA,95824,SACRAMENTO,3,50,INACTIVE,5/24/1999,,10/10/2017,2,1,1,4,0,0,1,0,12/8/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,340319284,SKYCREST STATE PRESCHOOL,SAN JUAN UNIFIED SCHOOL DISTRICT,"RAMERIZ, DRINA",(916) 867-2103,5641 MARIPOSA AVENUE,CITRUS HEIGHTS,CA,95610,SACRAMENTO,3,48,LICENSED,5/5/2000,,8/7/2019,2,0,2,4,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343604712,SMALL WONDERS CHRISTIAN,"REDEEMER COVENANT CHURCH, OF ORANGEVALE","STEELE, CONNIE",(916) 988-0998,6800 MAIN AVE.,ORANGEVALE,CA,95662,SACRAMENTO,3,60,LICENSED,9/2/1999,,10/24/2017,2,0,1,3,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343614029,SMALLVILLE PRESCHOOL,"NULL, SHANNON",NULL SHANNON,(916) 480-0632,4706 ARDEN WAY,CARMICHAEL,CA,95608,SACRAMENTO,3,30,LICENSED,7/6/2006,,8/26/2019,3,0,0,3,0,1,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343617592,SMART START CREATIVE LEARNING CENTER-FOLSOM,SMART START EDUCATION L.L.C,AMBER TUCKER,(916) 941-5304,101 HAZELMERE DRIVE,FOLSOM,CA,95630,SACRAMENTO,3,75,CLOSED,8/12/2013,8/18/2015,7/15/2015,0,1,2,3,0,0,0,1,1/7/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,340318294,SMYTHE STATE PRESCHOOL,TWIN RIVER UNIFIED SCHOOL DISTRICT,"FUJIKAWA, KIRK",(916) 263-8466,"2781 NORTHGATE BLVD., ROOM #1",SACRAMENTO,CA,95833,SACRAMENTO,3,56,LICENSED,6/22/1992,,8/23/2016,1,0,1,2,0,0,0,0,No Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343608841,SOMETHING EXTRA PRESCHOOL & CHILDCARE,"THROCKMORTON, JOHN & JAMIE","THROCKMORTON, JAMIE",(916) 348-0712,7916 AZTEC WAY,ANTELOPE,CA,95843,SACRAMENTO,3,73,LICENSED,4/24/2003,,3/15/2019,2,8,4,14,0,2,1,2,4/16/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343621213,STEPPING STONES SCHOOL AT RIVER LIFE,STEPPING STONES SCHOOL AT RIVER LIFE,"HAYMER, MORNEN",(916) 254-0837,4421 A STREET,SACRAMENTO,CA,95819,SACRAMENTO,3,48,LICENSED,8/30/2016,,7/9/2019,3,3,1,7,0,0,0,0,1/14/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY CARE CENTER,343607049,STORYBOOK COTTAGE,"STORYBOOK COTTAGE, INC.","BUNTON, CYNTHIA",(916) 944-8992,7231 LINCOLN AVE.,CARMICHAEL,CA,95608,SACRAMENTO,3,78,LICENSED,2/11/2002,,8/15/2019,2,1,5,8,0,0,0,0,2/12/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
